,Economy (GDP per Capita),Generosity,Country,Happiness Rank,Health (Life Expectancy),year,Happiness Score,Trust (Government Corruption),Freedom,Continent
133,0.41562077399999997,0.258538276,Comoros,134,0.43738332399999996,2020,4.288599968,0.100048535,0.18102823199999998,Africa
139,0.23906,0.17440999999999998,Comoros,140,0.36315,2015,3.9560000000000004,0.19899999999999998,0.22916999999999998,Africa
126,0.7710899999999999,0.12077,Congo (Brazzaville),127,0.28212,2016,4.236000000000001,0.09752999999999999,0.37938,Africa
113,0.682,0.091,Congo (Brazzaville),114,0.34299999999999997,2018,4.559,0.077,0.514,Africa
102,0.6729999999999999,0.105,Congo (Brazzaville),103,0.508,2019,4.812,0.09300000000000001,0.37200000000000005,Africa
87,0.633616745,0.11721601300000001,Congo (Brazzaville),88,0.45810112399999997,2020,5.1943998339999995,0.118670784,0.386514395,Africa
138,0.67866,0.12387999999999999,Congo (Brazzaville),139,0.31051,2015,3.989,0.11685999999999999,0.41466000000000003,Africa
123,0.8089642524719242,0.12085212767124198,Congo (Brazzaville),124,0.28995743393898,2017,4.29099988937378,0.0796181336045265,0.4350258708000179,Africa
126,0.094,0.212,Congo (Kinshasa),127,0.35700000000000004,2019,4.418,0.053,0.26899999999999996,Africa
125,0.0921023488044739,0.246455833315849,Congo (Kinshasa),126,0.191407024860382,2017,4.2800002098083505,0.0602413564920425,0.235961347818375,Africa
130,0.062487468,0.254324883,Congo (Kinshasa),131,0.277212054,2020,4.31099987,0.081466645,0.36462298,Africa
119,0.0,0.24834,Congo (Kinshasa),120,0.09806000000000001,2015,4.5169999999999995,0.07625,0.22605,Africa
124,0.05661,0.25458000000000003,Congo (Kinshasa),125,0.188,2016,4.272,0.06075,0.15602,Africa
131,0.069,0.19699999999999998,Congo (Kinshasa),132,0.204,2018,4.245,0.052000000000000005,0.312,Africa
11,1.10970628261566,0.21461322903633104,Costa Rica,12,0.7595092654228209,2017,7.0789999961853,0.100106589496136,0.580131649971008,North America
13,1.06879,0.22553,Costa Rica,14,0.76146,2016,7.087000000000001,0.10547000000000001,0.55225,North America
12,1.01,0.14300000000000002,Costa Rica,13,0.8170000000000001,2018,7.072,0.10099999999999999,0.632,North America
11,1.034,0.14400000000000002,Costa Rica,12,0.963,2019,7.167000000000001,0.09300000000000001,0.5579999999999999,North America
11,0.95578,0.25497,Costa Rica,12,0.8602700000000001,2015,7.226,0.10583,0.63376,North America
14,0.981107712,0.131266311,Costa Rica,15,0.9396353359999999,2020,7.121399879,0.096362092,0.6450177429999999,North America
73,1.18649,0.18434,Croatia,74,0.70524,2016,5.4879999999999995,0.04002,0.23906999999999998,Europe
74,1.155,0.11900000000000001,Croatia,75,0.914,2019,5.432,0.022000000000000002,0.29600000000000004,Europe
76,1.22255623340607,0.248002976179123,Croatia,77,0.701288521289825,2017,5.2930002212524405,0.0431031100451946,0.255772292613983,Europe
78,1.109024286,0.113998979,Croatia,79,0.900575578,2020,5.504700184,0.012325006000000001,0.38145688200000005,Europe
61,1.08254,0.054439999999999995,Croatia,62,0.78805,2015,5.7589999999999995,0.0243,0.25883,Europe
81,1.115,0.12,Croatia,82,0.737,2018,5.321000000000001,0.039,0.38,Europe
60,1.229,0.20199999999999999,Cyprus,61,0.909,2018,5.7620000000000005,0.035,0.423,Europe
44,1.21279943,0.227932334,Cyprus,45,1.0261245970000001,2020,6.15899992,0.051207144,0.45938587200000003,Europe
68,1.31857,0.27906,Cyprus,69,0.8488,2016,5.546,0.05227999999999999,0.29507,Europe
66,1.20813,0.30638000000000004,Cyprus,67,0.92356,2015,5.689,0.06146,0.40671999999999997,Europe
48,1.263,0.19,Cyprus,49,1.042,2019,6.046,0.040999999999999995,0.406,Europe
64,1.3559380769729599,0.271254301071167,Cyprus,65,0.84471470117569,2017,5.62099981307983,0.0412379764020443,0.35511153936386103,Europe
19,1.2690000000000001,0.046,Czech Republic,20,0.92,2019,6.852,0.036000000000000004,0.457,Europe
22,1.35268235206604,0.0881067588925362,Czech Republic,23,0.754444003105164,2017,6.60900020599365,0.0368729270994663,0.49094617366790794,Europe
18,1.212322354,0.046325929,Czech Republic,19,0.89456445,2020,6.9109001160000005,0.049803223,0.505744576,Europe
26,1.30915,0.09929,Czech Republic,27,0.76376,2016,6.596,0.03986,0.41418,Europe
30,1.17898,0.10686,Czech Republic,31,0.84483,2015,6.505,0.02652,0.46363999999999994,Europe
20,1.2329999999999999,0.064,Czech Republic,21,0.8540000000000001,2018,6.711,0.034,0.5429999999999999,Europe
1,1.383,0.252,Denmark,2,0.996,2019,7.6,0.41,0.5920000000000001,Europe
1,1.326948524,0.24279339600000002,Denmark,2,0.979332566,2020,7.645599842,0.49526032799999997,0.665039897,Europe
1,1.48238301277161,0.3552804887294771,Denmark,2,0.7925655245780941,2017,7.52199983596802,0.40077006816863997,0.626006722450256,Europe
0,1.4417799999999998,0.36171,Denmark,1,0.79504,2016,7.526,0.44453000000000004,0.5794100000000001,Europe
2,1.351,0.284,Denmark,3,0.868,2018,7.555,0.408,0.6829999999999999,Europe
2,1.32548,0.34139,Denmark,3,0.87464,2015,7.527,0.48357,0.6493800000000001,Europe
125,0.44025,0.18093,Djibouti,126,0.36291,2015,4.369,0.28105,0.46074,Africa
67,0.9831918479999999,0.112196781,Dominican Republic,68,0.7419016959999999,2020,5.6891999239999995,0.115945682,0.5628739,North America
82,0.982,0.12,Dominican Republic,83,0.614,2018,5.3020000000000005,0.106,0.578,North America
88,1.02787,0.21286,Dominican Republic,89,0.5766899999999999,2016,5.155,0.12372000000000001,0.52259,North America
76,1.015,0.113,Dominican Republic,77,0.779,2019,5.425,0.10099999999999999,0.49700000000000005,North America
97,0.8953700000000001,0.21684,Dominican Republic,98,0.66825,2015,4.885,0.14234000000000002,0.57672,North America
85,1.07937383651733,0.186967849731445,Dominican Republic,86,0.574873745441437,2017,5.230000019073491,0.113945253193378,0.55258983373642,North America
47,0.889,0.114,Ecuador,48,0.736,2018,5.973,0.12,0.556,South America
47,0.8640200000000001,0.11540999999999998,Ecuador,48,0.79075,2015,5.975,0.1809,0.48573999999999995,South America
50,0.97306,0.10074,Ecuador,51,0.68613,2016,5.976,0.18037,0.4027,South America
43,1.00082039833069,0.15011246502399403,Ecuador,44,0.685636222362518,2017,6.00799989700317,0.140134647488594,0.4551981985569,South America
49,0.912,0.126,Ecuador,50,0.868,2019,6.028,0.087,0.498,South America
57,0.853383601,0.115006477,Ecuador,58,0.838837743,2020,5.925199986,0.086753383,0.555234551,South America
103,0.989701807498932,0.128631442785263,Egypt,104,0.520187258720398,2017,4.7350001335144,0.114381365478039,0.28211015462875394,Africa
136,0.9129999999999999,0.076,Egypt,137,0.644,2019,4.166,0.067,0.24100000000000002,Africa
119,0.95395,0.12705999999999998,Egypt,120,0.5211600000000001,2016,4.362,0.10393,0.18847,Africa
137,0.8752289409999999,0.068801254,Egypt,138,0.596911311,2020,4.151400089,0.095461793,0.37368473399999996,Africa
121,0.885,0.092,Egypt,122,0.5529999999999999,2018,4.419,0.107,0.312,Africa
134,0.8818,0.11291,Egypt,135,0.61712,2015,4.194,0.06324,0.17288,Africa
44,0.9097844958305359,0.0782579854130745,El Salvador,45,0.596018552780151,2017,6.002999782562259,0.0899809598922729,0.432452529668808,North America
33,0.748940408,0.11893630000000001,El Salvador,34,0.752730012,2020,6.34829998,0.11703035199999999,0.5240439179999999,North America
39,0.8059999999999999,0.065,El Salvador,40,0.639,2018,6.167000000000001,0.08199999999999999,0.461,North America
45,0.8737,0.08877,El Salvador,46,0.596,2016,6.068,0.10613,0.37269,North America
41,0.76454,0.10692,El Salvador,42,0.67737,2015,6.13,0.11775999999999999,0.4035,North America
34,0.794,0.09300000000000001,El Salvador,35,0.789,2019,6.252999999999999,0.07400000000000001,0.43,North America
62,1.2,0.086,Estonia,63,0.737,2018,5.739,0.174,0.5529999999999999,Europe
71,1.2796399999999999,0.08423,Estonia,72,0.68098,2016,5.517,0.18519000000000002,0.41511000000000003,Europe
